GRADE,VD/NVD,Batch Number,Date,tap_wt_from_EAF,LIFTING TEMP_LRF,TEMP OPENING_LRF,al ingot_kg__during_EAF_tapping,LIME_LRF,SPAR,OXY_EAF,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,Total_Al_LRF_kg,LRF_Final_Chemistry_AL,LRF_Final_Chemistry_C,LRF_Final_Chemistry_MN,Final_S,Final_SI,LRF_Final_Chemistry_N2,GRADE_KEY,C_Target,Mn_Target,Si_Target,Al_Target,C_Min,C_Max,Mn_Min,Mn_Max,Si_Min,Si_Max,Al_Min,Al_Max,N_Max,S_Max,Carbon_Gap,Mn_Gap,Si_Gap,Al_Gap,Mean_Oxygen,Samples
SAE9254,VD,4615154.0,,102.0,1557.0,1505.0,0.0,994.0,25.0,4081.0,0.137,0.48,0.058,0.521,0.002,58.0,10.0,0.005,0.554,0.64,0.007,1.34,64.0,SAE9254,0.545,0.6499999999999999,1.35,,0.53,0.56,0.6,0.7,1.3,1.4,,0.012,70.0,0.015,0.408,0.1699999999999999,0.8290000000000001,,436.781728873635,
JSPHTHSV,NVD,4615155.0,,103.0,1575.0,1505.0,132.0,1400.0,25.0,3829.0,0.112,0.96,0.068,0.14,0.023,58.0,290.5,0.024,0.202,1.33,0.0089,0.23,61.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.078,0.365,0.06,,445.4,35.0
SAE9254,VD,4615156.0,,98.0,1532.0,1505.0,0.0,1500.0,25.0,4099.0,0.07,0.51,0.055,0.53,1.417,64.0,10.0,0.006,0.528,0.63,0.0089,1.324,61.0,SAE9254,0.545,0.6499999999999999,1.35,,0.53,0.56,0.6,0.7,1.3,1.4,,0.012,70.0,0.015,0.475,0.1399999999999999,0.8200000000000001,,436.781728873635,
SAE9254,VD,4615157.0,,96.0,1525.0,1505.0,0.0,1600.0,25.0,3904.0,0.075,0.5,0.049,0.5649,0.005,61.0,10.0,0.005,0.558,0.64,0.01,1.3799,61.0,SAE9254,0.545,0.6499999999999999,1.35,,0.53,0.56,0.6,0.7,1.3,1.4,,0.012,70.0,0.015,0.47,0.1499999999999999,0.7851000000000001,,436.781728873635,
S275HS,NVD,4615158.0,,102.0,1615.0,1590.0,110.0,2000.0,25.0,3597.0,0.061,0.37,0.0599,0.0589,0.003,58.0,417.0,0.025,0.167,0.8,0.008,0.22,58.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
S275HS,NVD,4615159.0,,101.0,1583.0,1505.0,110.0,1450.0,25.0,4196.0,0.076,0.59,0.064,0.1029,0.014,57.0,295.89,0.04,0.16,0.85,0.014,0.224,61.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
S275HS,NVD,4615160.0,,99.0,1583.0,1505.0,110.0,1500.0,25.0,3630.0,0.07,0.62,0.078,0.104,0.017,60.0,268.5,0.027,0.172,0.84,0.01,0.223,61.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
SAE9254,VD,4615161.0,,99.0,1550.0,1505.0,0.0,1550.0,25.0,4490.0,0.103,0.51,0.085,0.534,0.002,63.0,10.0,0.004,0.542,0.62,0.014,1.341,60.0,SAE9254,0.545,0.6499999999999999,1.35,,0.53,0.56,0.6,0.7,1.3,1.4,,0.012,70.0,0.015,0.442,0.1399999999999999,0.8160000000000001,,436.781728873635,
S275HS,NVD,4615162.0,,98.0,1585.0,1505.0,110.0,1250.0,25.0,4391.0,0.12,0.69,0.0729,0.056,0.002,54.0,268.5,0.021,0.132,0.8,0.019,0.229,64.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
SAE9254,VD,4615163.0,,96.0,1525.0,1505.0,0.0,1350.0,25.0,4511.0,0.075,0.5,0.0719,0.522,0.001,51.0,10.0,0.004,0.535,0.63,0.01,1.34,63.0,SAE9254,0.545,0.6499999999999999,1.35,,0.53,0.56,0.6,0.7,1.3,1.4,,0.012,70.0,0.015,0.47,0.1499999999999999,0.8280000000000001,,436.781728873635,
