GRADE,VD/NVD,Batch Number,Date,tap_wt_from_EAF,LIFTING TEMP_LRF,TEMP OPENING_LRF,al ingot_kg__during_EAF_tapping,LIME_LRF,SPAR,OXY_EAF,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,Total_Al_LRF_kg,LRF_Final_Chemistry_AL,LRF_Final_Chemistry_C,LRF_Final_Chemistry_MN,Final_S,Final_SI,LRF_Final_Chemistry_N2,GRADE_KEY,C_Target,Mn_Target,Si_Target,Al_Target,C_Min,C_Max,Mn_Min,Mn_Max,Si_Min,Si_Max,Al_Min,Al_Max,N_Max,S_Max,Carbon_Gap,Mn_Gap,Si_Gap,Al_Gap,Mean_Oxygen,Samples
S275HS,NVD,4616423.0,,101.0,1580.0,1553.0,132.0,1500.0,50.0,3694.0,0.087,0.67,0.058,0.1489,0.072,60.0,186.78,0.039,0.168,0.82,0.008,0.203,63.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
S275HS,NVD,4616424.0,,102.0,1570.0,1505.0,132.0,1450.0,50.0,3540.0,0.069,0.66,0.0609,0.138,0.054,51.0,241.89,0.031,0.179,0.82,0.005,0.198,64.0,S275HS,,,,,,,,,,,,,,,,,,,342.3058823529412,17.0
C18,NVD,4616425.0,,103.0,1565.0,1505.0,132.0,1100.0,50.0,3567.0,0.119,0.43,0.055,0.123,0.096,51.0,155.1,0.027,0.177,0.53,0.005,0.1479,64.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.071,0.095,0.002,,208.0,1.0
C18,NVD,4616426.0,,108.0,1565.0,1505.0,144.0,1300.0,50.0,3548.0,0.073,0.43,0.058,0.135,0.076,51.0,177.0,0.023,0.177,0.52,0.004,0.1749,64.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.117,0.095,-0.01,,208.0,1.0
C18,NVD,4616427.0,,101.0,1570.0,1550.0,132.0,1200.0,50.0,3638.0,0.089,0.45,0.056,0.1489,0.086,51.0,155.1,0.023,0.182,0.53,0.003,0.2119,64.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.101,0.075,-0.0239,,208.0,1.0
C18,NVD,4616428.0,,95.0,1565.0,1539.0,156.0,1150.0,50.0,3417.0,0.089,0.44,0.064,0.14,0.208,48.0,156.0,0.022,0.186,0.56,0.003,0.221,64.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.101,0.085,-0.015,,208.0,1.0
C18,NVD,4616429.0,,103.0,1565.0,1522.0,144.0,1400.0,50.0,4136.0,0.05,0.45,0.055,0.1179,0.014,51.0,233.1,0.027,0.191,0.53,0.0109,0.133,63.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.14,0.075,0.0070999999999999,,208.0,1.0
C18,NVD,4616430.0,,98.0,1565.0,1505.0,144.0,1450.0,50.0,4220.0,0.062,0.44,0.065,0.104,0.021,53.0,223.2,0.023,0.187,0.57,0.012,0.161,61.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.128,0.085,0.021,,208.0,1.0
C18,NVD,4616431.0,,102.0,1565.0,1543.0,144.0,1350.0,50.0,3461.0,0.057,0.41,0.066,0.111,0.012,51.0,226.5,0.023,0.195,0.54,0.0129,0.154,66.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.133,0.115,0.0139999999999999,,208.0,1.0
C18,NVD,4616432.0,,100.0,1565.0,1530.0,144.0,1100.0,50.0,3392.0,0.147,0.41,0.065,0.114,0.092,55.0,163.8,0.029,0.194,0.54,0.014,0.154,63.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.043,0.115,0.0109999999999999,,208.0,1.0
C18,NVD,4616433.0,,101.0,1566.0,1537.0,132.0,1200.0,50.0,3620.0,0.067,0.43,0.07,0.122,0.041,54.0,161.04,0.029,0.192,0.53,0.0179,0.1419,64.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.123,0.095,0.003,,208.0,1.0
C18,NVD,4616434.0,,104.0,1565.0,1505.0,144.0,1300.0,50.0,3430.0,0.066,0.43,0.0719,0.0909,0.037,55.0,246.3,0.024,0.192,0.53,0.016,0.1469,64.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.124,0.095,0.0341,,208.0,1.0
C18,NVD,4616435.0,,104.0,1566.0,1534.0,132.0,1450.0,50.0,4198.0,0.067,0.43,0.07,0.123,0.012,48.0,132.0,0.029,0.184,0.53,0.02,0.13,64.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.123,0.095,0.002,,208.0,1.0
C18,NVD,4616436.0,,103.0,1615.0,1556.0,132.0,1600.0,50.0,3609.0,0.062,0.41,0.0739,0.098,0.019,48.0,250.8,0.018,0.199,0.51,0.016,0.167,66.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.128,0.115,0.0269999999999999,,208.0,1.0
C18,NVD,4616437.0,,100.0,1575.0,1581.0,132.0,1280.0,50.0,3240.0,0.081,0.48,0.0739,0.1429,0.049,57.0,179.19,0.025,0.184,0.55,0.012,0.159,64.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.109,0.045,-0.0179,,208.0,1.0
C18,NVD,4616438.0,,98.0,1565.0,1540.0,132.0,1450.0,50.0,3901.0,0.081,0.47,0.065,0.134,0.111,55.0,132.0,0.024,0.177,0.55,0.0109,0.1459,64.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.109,0.055,-0.009,,208.0,1.0
C18,NVD,4616439.0,,104.0,1575.0,1505.0,110.0,1250.0,50.0,3939.0,0.059,0.47,0.0739,0.115,0.061,51.0,176.0,0.03,0.17,0.53,0.0129,0.156,63.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.131,0.055,0.0099999999999999,,208.0,1.0
C18,NVD,4616440.0,,101.0,1570.0,1505.0,110.0,1200.0,50.0,3740.0,0.044,0.42,0.0749,0.1029,0.046,38.0,235.4,0.034,0.186,0.53,0.016,0.157,63.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.146,0.105,0.0220999999999999,,208.0,1.0
JSPHTHS(V),NVD,4616441.0,,103.0,1610.0,1567.0,110.0,1450.0,50.0,2821.0,0.076,0.85,0.05,0.137,0.038,41.0,261.8,0.038,0.184,1.32,0.003,0.195,70.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.114,0.475,0.063,,445.4,35.0
JSPHTHS(V),NVD,4616442.0,,102.0,1575.0,1505.0,110.0,1650.0,50.0,3787.0,0.09,1.01,0.0609,0.1429,0.021,54.0,311.3,0.036,0.176,1.33,0.004,0.198,71.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.1,0.3149999999999999,0.0571,,445.4,35.0
JSPHTHS(V),NVD,4616443.0,,97.0,1580.0,1505.0,132.0,1500.0,50.0,3370.0,0.107,1.12,0.067,0.194,0.021,67.0,330.0,0.026,0.182,1.33,0.006,0.194,71.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.083,0.2049999999999998,0.006,,445.4,35.0
JSPHTHS(V),NVD,4616444.0,,100.0,1576.0,1505.0,132.0,1550.0,50.0,4041.0,0.064,0.66,0.0709,0.132,0.044,43.0,274.56,0.032,0.183,1.33,0.0089,0.194,66.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.126,0.6649999999999999,0.068,,445.4,35.0
JSPHTHS(V),NVD,4616445.0,,97.0,1603.0,1505.0,110.0,1250.0,50.0,3647.0,0.113,0.64,0.0609,0.152,0.06,51.0,232.1,0.032,0.181,1.32,0.007,0.1789,66.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.077,0.6849999999999999,0.048,,445.4,35.0
JSPHTHS(V),NVD,4616446.0,,99.0,1590.0,1505.0,132.0,1650.0,50.0,3367.0,0.074,0.63,0.0599,0.12,0.03,51.0,267.63,0.033,0.195,1.32,0.007,0.2089,67.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.116,0.695,0.08,,445.4,35.0
JSPHTHS(V),NVD,4616447.0,,97.0,1570.0,1620.0,198.0,1650.0,50.0,3197.0,0.077,0.64,0.07,0.136,0.031,51.0,313.5,0.034,0.188,1.33,0.01,0.223,66.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.113,0.6849999999999999,0.064,,445.4,35.0
JSPHTHS(V),NVD,4616448.0,,98.0,1615.0,1505.0,132.0,1600.0,50.0,3603.0,0.062,0.63,0.065,0.11,0.05,55.0,244.86,0.026,0.176,1.32,0.006,0.182,64.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.128,0.695,0.09,,445.4,35.0
JSPHTHS(V),NVD,4616449.0,,99.0,1570.0,1505.0,132.0,1600.0,50.0,3129.0,0.077,0.6,0.066,0.1179,0.016,51.0,308.55,0.026,0.198,1.33,0.007,0.214,64.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.113,0.725,0.0821,,445.4,35.0
JSPHTHS(V),NVD,4616450.0,,98.0,1585.0,1505.0,110.0,1350.0,50.0,2679.0,0.072,0.58,0.065,0.1029,0.013,51.0,235.4,0.023,0.181,1.33,0.0089,0.2069,61.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.118,0.745,0.0971,,445.4,35.0
JSPHTHS(V),NVD,4616451.0,,95.0,1575.0,1505.0,178.0,1350.0,50.0,4746.0,0.07,0.63,0.066,0.11,0.014,51.0,339.7,0.032,0.179,1.33,0.007,0.2379,70.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.12,0.695,0.09,,445.4,35.0
JSPHTHS(V),NVD,4616452.0,,97.0,1575.0,1505.0,110.0,1400.0,50.0,3418.0,0.076,0.65,0.066,0.1489,0.032,50.0,258.5,0.021,0.187,1.31,0.005,0.193,67.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.114,0.6749999999999999,0.0511,,445.4,35.0
JSPHTHS(V),NVD,4616453.0,,99.0,1569.0,1505.0,132.0,1350.0,50.0,3767.0,0.118,1.03,0.068,0.1729,0.032,51.0,254.1,0.038,0.189,1.33,0.0109,0.187,67.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.072,0.2949999999999999,0.0271,,445.4,35.0
JSPHTHS(V),NVD,4616454.0,,96.0,1565.0,1505.0,132.0,1400.0,50.0,3729.0,0.086,1.05,0.055,0.183,0.019,61.0,171.6,0.034,0.181,1.32,0.008,0.2,66.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.104,0.2749999999999999,0.017,,445.4,35.0
JSPHTHS(V),NVD,4616455.0,,98.0,1570.0,1505.0,132.0,1250.0,50.0,4225.0,0.164,1.08,0.07,0.198,0.116,55.0,293.7,0.027,0.188,1.3,0.008,0.195,67.0,JSPHTHSV,0.19,1.325,0.2,,0.18,0.2,1.3,1.35,0.15,0.25,,0.022,90.0,0.025,0.0259999999999999,0.2449999999999998,0.002,,445.4,35.0
C18,NVD,4616456.0,,99.0,1565.0,1505.0,132.0,1300.0,50.0,3496.0,0.073,0.44,0.0749,0.096,0.1,27.0,174.24,0.026,0.193,0.54,0.008,0.153,66.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.117,0.085,0.0289999999999999,,208.0,1.0
C18,NVD,4616457.0,,103.0,1580.0,1505.0,132.0,1500.0,50.0,4115.0,0.058,0.43,0.0739,0.116,0.012,61.0,260.04,0.023,0.194,0.54,0.0109,0.1489,61.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.132,0.095,0.0089999999999999,,208.0,1.0
C18,NVD,4616458.0,,98.0,1575.0,1505.0,132.0,1350.0,50.0,4104.0,0.143,0.44,0.085,0.1409,0.138,47.0,132.0,0.032,0.176,0.53,0.016,0.155,61.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.047,0.085,-0.0158999999999999,,208.0,1.0
C18,NVD,4616459.0,,106.0,1585.0,1505.0,132.0,1480.0,50.0,4059.0,0.138,0.4,0.08,0.128,0.077,41.0,168.3,0.036,0.202,0.53,0.0179,0.134,64.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.0519999999999999,0.125,-0.003,,208.0,1.0
C18,NVD,4616460.0,,105.0,1568.0,1505.0,132.0,1350.0,50.0,4081.0,0.113,0.45,0.08,0.1499,0.081,50.0,132.0,0.02,0.189,0.54,0.012,0.133,64.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.077,0.075,-0.0249,,208.0,1.0
C18,NVD,4616461.0,,99.0,1575.0,1515.0,144.0,1100.0,50.0,3683.0,0.072,0.28,0.068,0.083,0.022,55.0,236.4,0.025,0.173,0.52,0.006,0.1729,67.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.118,0.245,0.0419999999999999,,208.0,1.0
C18,NVD,4616462.0,,93.0,1615.0,1505.0,132.0,1450.0,50.0,3887.0,0.086,0.45,0.07,0.127,0.059,57.0,250.8,0.023,0.178,0.54,0.005,0.16,61.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.104,0.075,-0.002,,208.0,1.0
C18,NVD,4616463.0,,103.0,1569.0,1505.0,132.0,1500.0,50.0,3811.0,0.087,0.4,0.07,0.126,0.062,51.0,217.8,0.014,0.189,0.54,0.005,0.157,64.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.103,0.125,-0.001,,208.0,1.0
C18,NVD,4616464.0,,101.0,1564.0,1505.0,132.0,1200.0,50.0,3861.0,0.075,0.43,0.062,0.1312,0.045,54.0,214.5,0.026,0.166,0.52,0.007,0.158,64.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.115,0.095,-0.0062,,208.0,1.0
C18,NVD,4616465.0,,103.0,1568.0,1521.0,144.0,1100.0,50.0,4012.0,0.087,0.43,0.058,0.137,0.043,55.0,213.3,0.025,0.185,0.52,0.006,0.167,66.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.103,0.095,-0.012,,208.0,1.0
C18,NVD,4616466.0,,100.0,1565.0,1543.0,144.0,1200.0,50.0,3832.0,0.058,0.42,0.066,0.128,0.007,51.0,274.35,0.032,0.186,0.53,0.006,0.1489,66.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.132,0.105,-0.003,,208.0,1.0
C18,NVD,4616467.0,,114.0,1564.0,1505.0,110.0,1100.0,50.0,3768.0,0.066,0.39,0.0719,0.128,0.026,54.0,225.5,0.036,0.181,0.52,0.01,0.159,63.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.124,0.135,-0.003,,208.0,1.0
C18,NVD,4616468.0,,100.0,1570.0,1505.0,132.0,1100.0,50.0,3890.0,0.056,0.46,0.063,0.117,0.021,61.0,247.5,0.026,0.176,0.53,0.006,0.202,64.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.134,0.065,0.0079999999999999,,208.0,1.0
C18,NVD,4616469.0,,101.0,1570.0,1532.0,144.0,1200.0,50.0,4024.0,0.082,0.43,0.0719,0.156,0.054,60.0,249.6,0.028,0.18,0.53,0.007,0.1499,66.0,C18,0.19,0.525,0.125,,0.18,0.2,0.5,0.55,0.05,0.2,,0.012,120.0,0.025,0.108,0.095,-0.031,,208.0,1.0
SAE1006,VD,4616470.0,,95.0,1635.0,1505.0,264.0,2400.0,50.0,4757.0,0.022,0.26,0.0739,0.02,0.125,55.0,462.0,0.023,0.038,0.36,0.005,0.049,63.0,SAE1006,0.055,0.43,0.06,,0.05,0.06,0.41,0.45,0.04,0.08,,0.04,120.0,0.04,0.033,0.1699999999999999,0.0399999999999999,,436.781728873635,
S275LS,NVD,4616471.0,,97.0,1610.0,1505.0,144.0,1250.0,50.0,3845.0,0.075,0.61,0.0739,0.139,0.055,54.0,248.94,0.034,0.166,0.82,0.007,0.197,68.0,S275LS,,,,,,,,,,,,,,,,,,,217.0,1.0
SAE1004,VD,4616472.0,,94.0,1607.0,1505.0,242.0,1850.0,50.0,5229.0,0.02,0.23,0.068,0.017,0.098,51.0,469.04,0.025,0.032,0.33,0.004,0.0459,60.0,SAE1004,0.0315,0.445,0.06,,0.025,0.038,0.41,0.48,0.04,0.08,,0.04,120.0,0.04,0.0115,0.215,0.043,,436.781728873635,
S275LS,NVD,4616473.0,,107.0,1600.0,1505.0,242.0,1200.0,50.0,3485.0,0.088,0.56,0.0719,0.1189,0.05,51.0,326.15,0.041,0.163,0.73,0.0149,0.187,64.0,S275LS,,,,,,,,,,,,,,,,,,,217.0,1.0
SAE1004,VD,4616474.0,,97.0,1620.0,1505.0,242.0,1900.0,50.0,4449.0,0.027,0.24,0.07,0.016,0.046,51.0,519.2,0.032,0.033,0.35,0.006,0.0459,61.0,SAE1004,0.0315,0.445,0.06,,0.025,0.038,0.41,0.48,0.04,0.08,,0.04,120.0,0.04,0.0045,0.205,0.044,,436.781728873635,
S275LS,NVD,4616475.0,,104.0,1600.0,1505.0,242.0,1200.0,50.0,3820.0,0.026,0.32,0.049,0.017,0.022,51.0,326.15,0.031,0.163,0.72,0.004,0.192,68.0,S275LS,,,,,,,,,,,,,,,,,,,217.0,1.0
SAE1004,VD,4616476.0,,100.0,1605.0,1505.0,242.0,2100.0,50.0,4336.0,0.053,0.54,0.065,0.085,0.023,53.0,482.9,0.024,0.033,0.36,0.005,0.028,61.0,SAE1004,0.0315,0.445,0.06,,0.025,0.038,0.41,0.48,0.04,0.08,,0.04,120.0,0.04,-0.0215,-0.095,-0.025,,436.781728873635,
SAE1004,VD,4616477.0,,98.0,1610.0,1505.0,242.0,2050.0,50.0,4168.0,0.025,0.28,0.0719,0.007,0.083,54.0,501.05,0.034,0.039,0.35,0.01,0.021,61.0,SAE1004,0.0315,0.445,0.06,,0.025,0.038,0.41,0.48,0.04,0.08,,0.04,120.0,0.04,0.0064999999999999,0.1649999999999999,0.053,,436.781728873635,
SAE1004,VD,4616478.0,,100.0,1605.0,1553.0,242.0,2100.0,50.0,3683.0,0.026,0.3,0.048,0.012,0.083,57.0,301.4,0.032,0.035,0.33,0.003,0.048,61.0,SAE1004,0.0315,0.445,0.06,,0.025,0.038,0.41,0.48,0.04,0.08,,0.04,120.0,0.04,0.0055,0.145,0.048,,436.781728873635,
S275LS,NVD,4616479.0,,111.0,1580.0,1505.0,132.0,1650.0,50.0,3542.0,0.086,0.58,0.056,0.12,0.052,51.0,223.41,0.039,0.165,0.72,0.0149,0.189,66.0,S275LS,,,,,,,,,,,,,,,,,,,217.0,1.0
SAE1004,VD,4616480.0,,102.0,1600.0,1505.0,242.0,2100.0,50.0,4189.0,0.032,0.26,0.0589,0.008,0.098,51.0,489.5,0.027,0.039,0.37,0.008,0.023,63.0,SAE1004,0.0315,0.445,0.06,,0.025,0.038,0.41,0.48,0.04,0.08,,0.04,120.0,0.04,-0.0005,0.185,0.052,,436.781728873635,
S275LS,NVD,4616481.0,,97.0,1580.0,1505.0,132.0,1500.0,50.0,3859.0,0.087,0.54,0.058,0.1179,0.095,51.0,191.4,0.042,0.169,0.74,0.0129,0.217,63.0,S275LS,,,,,,,,,,,,,,,,,,,217.0,1.0
SAE1004,VD,4616482.0,,98.0,1600.0,1505.0,352.0,2500.0,50.0,4123.0,0.025,0.2,0.0599,0.005,0.027,61.0,665.5,0.025,0.032,0.38,0.008,0.019,61.0,SAE1004,0.0315,0.445,0.06,,0.025,0.038,0.41,0.48,0.04,0.08,,0.04,120.0,0.04,0.0064999999999999,0.245,0.055,,436.781728873635,
JSPHTLSV,NVD,4616483.0,,101.0,1610.0,1505.0,132.0,1300.0,50.0,3614.0,0.037,0.01,0.065,0.014,0.024,57.0,339.9,0.026,0.183,1.28,0.005,0.2099,66.0,JSPHTLSV,,,,,,0.2,,1.3,,0.25,,,90.0,0.025,,,,,345.3333333333333,3.0
SAE1004,VD,4616484.0,,92.0,1599.0,1505.0,242.0,1700.0,50.0,4053.0,0.027,0.26,0.062,0.008,0.123,54.0,390.5,0.011,0.034,0.35,0.005,0.039,60.0,SAE1004,0.0315,0.445,0.06,,0.025,0.038,0.41,0.48,0.04,0.08,,0.04,120.0,0.04,0.0045,0.185,0.052,,436.781728873635,
SAE1004,VD,4616485.0,,93.0,1600.0,1505.0,242.0,1800.0,50.0,4053.0,0.024,0.26,0.0599,0.0109,0.081,55.0,440.0,0.02,0.033,0.35,0.006,0.019,61.0,SAE1004,0.0315,0.445,0.06,,0.025,0.038,0.41,0.48,0.04,0.08,,0.04,120.0,0.04,0.0075,0.185,0.0491,,436.781728873635,
JSPHTLSV,NVD,4616486.0,,97.0,1580.0,1505.0,176.0,1750.0,50.0,3410.0,0.096,1.0,0.0599,0.158,0.067,55.0,268.4,0.036,0.18,1.29,0.01,0.2119,67.0,JSPHTLSV,,,,,,0.2,,1.3,,0.25,,,90.0,0.025,,,,,345.3333333333333,3.0
JSPHTLSV,NVD,4616487.0,,103.0,1580.0,1505.0,132.0,1250.0,50.0,3445.0,0.136,0.89,0.064,0.1449,0.136,57.0,132.0,0.03,0.175,1.3,0.01,0.199,70.0,JSPHTLSV,,,,,,0.2,,1.3,,0.25,,,90.0,0.025,,,,,345.3333333333333,3.0
SAE1004,VD,4616488.0,,97.0,1595.0,1505.0,276.0,2000.0,50.0,4577.0,0.03,0.3,0.066,0.01,0.087,51.0,408.0,0.017,0.039,0.35,0.006,0.029,64.0,SAE1004,0.0315,0.445,0.06,,0.025,0.038,0.41,0.48,0.04,0.08,,0.04,120.0,0.04,0.0015,0.145,0.0499999999999999,,436.781728873635,
SAE1004,VD,4616489.0,,99.0,1602.0,1505.0,276.0,2250.0,50.0,3896.0,0.024,0.22,0.063,0.007,0.017,54.0,771.0,0.018,0.03,0.39,0.005,0.033,61.0,SAE1004,0.0315,0.445,0.06,,0.025,0.038,0.41,0.48,0.04,0.08,,0.04,120.0,0.04,0.0075,0.225,0.053,,436.781728873635,
SAE1004,VD,4616490.0,,104.0,1598.0,1505.0,276.0,1850.0,50.0,4480.0,0.027,0.24,0.0609,0.01,0.07,64.0,490.5,0.022,0.032,0.35,0.006,0.021,55.0,SAE1004,0.0315,0.445,0.06,,0.025,0.038,0.41,0.48,0.04,0.08,,0.04,120.0,0.04,0.0045,0.205,0.0499999999999999,,436.781728873635,
HC66/70,NVD,4616491.0,,108.0,1590.0,1505.0,0.0,1200.0,50.0,3458.0,0.074,0.39,0.066,0.106,0.002,48.0,0.0,0.004,0.66,0.68,0.012,0.248,64.0,HC66/70,0.6799999999999999,0.7,0.25,,0.66,0.7,0.65,0.75,0.2,0.3,,,70.0,0.02,0.606,0.3099999999999999,0.144,,436.781728873635,
SAE1006,VD,4616492.0,,99.0,1600.0,1505.0,276.0,2200.0,50.0,4628.0,0.03,0.27,0.064,0.01,0.129,51.0,375.0,0.025,0.04,0.37,0.008,0.024,54.0,SAE1006,0.055,0.43,0.06,,0.05,0.06,0.41,0.45,0.04,0.08,,0.04,120.0,0.04,0.025,0.1599999999999999,0.0499999999999999,,436.781728873635,
SAE1006,VD,4616493.0,,94.0,1595.0,1505.0,276.0,1900.0,50.0,3887.0,0.035,0.25,0.068,0.0109,0.165,61.0,325.5,0.021,0.037,0.36,0.004,0.033,60.0,SAE1006,0.055,0.43,0.06,,0.05,0.06,0.41,0.45,0.04,0.08,,0.04,120.0,0.04,0.0199999999999999,0.18,0.0491,,436.781728873635,
HC66/70,NVD,4616494.0,,96.0,1545.0,1505.0,66.0,850.0,50.0,3914.0,0.201,0.55,0.08,0.161,0.005,60.0,66.0,0.007,0.66,0.67,0.0129,0.2829,66.0,HC66/70,0.6799999999999999,0.7,0.25,,0.66,0.7,0.65,0.75,0.2,0.3,,,70.0,0.02,0.4789999999999999,0.1499999999999999,0.089,,436.781728873635,
SAE1006,VD,4616495.0,,93.0,1595.0,1506.0,276.0,1950.0,50.0,4351.0,0.021,0.26,0.0749,0.0109,0.086,51.0,441.0,0.021,0.034,0.41,0.006,0.024,55.0,SAE1006,0.055,0.43,0.06,,0.05,0.06,0.41,0.45,0.04,0.08,,0.04,120.0,0.04,0.034,0.1699999999999999,0.0491,,436.781728873635,
SAE1006,VD,4616496.0,,97.0,1590.0,1520.0,276.0,2400.0,50.0,4705.0,0.021,0.23,0.0899,0.0089,0.039,45.0,688.5,0.018,0.033,0.36,0.004,0.031,61.0,SAE1006,0.055,0.43,0.06,,0.05,0.06,0.41,0.45,0.04,0.08,,0.04,120.0,0.04,0.034,0.1999999999999999,0.0511,,436.781728873635,
SAE1006,VD,4616497.0,,94.0,1600.0,1505.0,276.0,1600.0,50.0,3806.0,0.025,0.25,0.07,0.0109,0.035,43.0,474.0,0.038,0.033,0.38,0.0129,0.027,64.0,SAE1006,0.055,0.43,0.06,,0.05,0.06,0.41,0.45,0.04,0.08,,0.04,120.0,0.04,0.03,0.18,0.0491,,436.781728873635,
C18MMN,NVD,4616498.0,,101.0,1620.0,1540.0,144.0,1350.0,50.0,3605.0,0.084,0.51,0.0719,0.096,0.03,47.0,279.3,0.03,0.168,0.68,0.005,0.2349,64.0,C18MMN,,,,,,,,,,,,,,,,,,,436.781728873635,
C18MMN,NVD,4616499.0,,95.0,1575.0,1505.0,176.0,1900.0,50.0,4438.0,0.029,0.25,0.07,0.0089,0.053,51.0,423.5,0.035,0.138,0.56,0.003,0.0869,61.0,C18MMN,,,,,,,,,,,,,,,,,,,436.781728873635,
