GRADE,VD/NVD,tap_wt_from_EAF,LIFTING TEMP_LRF,TEMP OPENING_LRF,al ingot_kg__during_EAF_tapping,LIME_LRF,SPAR,OXY_EAF,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,Total_Al_LRF_kg,LRF_Final_Chemistry_AL,LRF_Final_Chemistry_C,LRF_Final_Chemistry_MN,Final_S,Final_SI,LRF_Final_Chemistry_N2
FE550DLMH,NVD,100.0,1610.0,1505.0,132.0,1200.0,25.0,4142.0,0.08,0.69,0.066,0.13,0.019,61.0,174.9,0.007,0.197,0.84,0.01,0.155,66.0
FE550DLMH,NVD,96.0,1590.0,1505.0,132.0,1150.0,25.0,3290.0,0.072,0.46,0.065,0.07,0.031,54.0,165.0,0.004,0.195,0.83,0.0129,0.163,67.0
JSPHTHSV,NVD,97.0,1585.0,1505.0,132.0,1200.0,25.0,3711.0,0.079,0.56,0.063,0.114,0.007,50.0,257.4,0.029,0.181,1.28,0.006,0.2099,67.0
FE550DLMH,NVD,103.0,1585.0,1505.0,132.0,1300.0,25.0,3878.0,0.084,0.67,0.0589,0.137,0.037,51.0,138.6,0.006,0.186,0.81,0.01,0.166,67.0
FE550DLMH,NVD,98.0,1575.0,1505.0,132.0,1200.0,25.0,3861.0,0.108,0.7,0.0519,0.152,0.048,53.0,132.0,0.006,0.175,0.83,0.006,0.164,61.0
FE550DLMH,NVD,102.0,1575.0,1505.0,132.0,1300.0,25.0,3783.0,0.08,0.68,0.065,0.1189,0.011,60.0,148.5,0.009,0.172,0.79,0.0219,0.1729,64.0
FE550DLMH,NVD,105.0,1572.0,1505.0,132.0,1200.0,25.0,3296.0,0.097,0.69,0.0599,0.155,0.071,60.0,132.0,0.008,0.187,0.83,0.0129,0.188,67.0
FE550DLMH,NVD,97.0,1570.0,1505.0,132.0,1100.0,25.0,3498.0,0.093,0.71,0.062,0.163,0.194,63.0,132.0,0.007,0.185,0.82,0.0109,0.198,68.0
FE550DLMH,NVD,98.0,1570.0,1505.0,110.0,1300.0,25.0,3519.0,0.086,0.7,0.07,0.1439,0.048,61.0,110.0,0.011,0.197,0.83,0.019,0.214,60.0
FE550DLMH,NVD,103.0,1585.0,1505.0,110.0,1200.0,25.0,3710.0,0.073,0.62,0.066,0.132,0.011,63.0,146.3,0.019,0.191,0.83,0.0089,0.196,74.0
